20160331,3245.0500,3239.0100,2964.8000,2318.3400,3396.5800,2872.3900,4370.7400,6416.1300,3490.7500,3189.8100,7335.1000,2832.3700,2855.4100,4844.6400,4806.4300,5908.3000,3225.7600,4808.4700,2716.5200,5731.6300,1549.2600,5254.9600,1416.5900,2702.0300,3086.2600,1681.5900,4914.7100,1541.9600
20160429,3123.2100,3330.0100,2954.0500,2348.7700,3410.3300,2811.2600,4392.6600,6485.8800,3427.3500,3157.3600,7208.9500,2751.5900,2723.4700,4768.1400,4694.7600,5683.1500,3232.2900,4770.8100,2626.5700,5672.2200,1441.2700,4921.1000,1347.9800,2655.4400,3129.8000,1617.9200,4913.6900,1505.3500
20160531,3123.1100,3092.7900,2873.0300,2232.6200,3464.0200,2937.3800,4415.9000,6576.5800,3359.9700,3057.7800,7176.1700,2688.3200,2701.4200,4637.4100,4557.4300,5525.6200,3034.1300,4555.7400,2535.0100,5556.7400,1413.2100,5005.3200,1347.8100,2645.9900,3170.4500,1646.9300,4863.7300,1491.4300
20160630,3173.1000,3125.8200,3023.4900,2194.4500,3632.2500,3199.1500,4593.8700,7027.7400,3370.4000,3233.8800,7472.8400,2701.3100,2651.8600,4670.5000,4526.8500,5501.5900,3173.0600,4659.0900,2577.6200,5956.9800,1525.3300,5336.0600,1332.2100,2779.8400,3093.6400,1638.0100,5090.8900,1575.4300
20160729,3222.3400,3218.5100,3054.0500,2212.0900,3681.2500,3031.5000,4793.6300,7411.8100,3364.4800,3274.9400,7818.4900,2771.8900,2722.8400,4498.0100,4637.1500,5494.0500,3218.8200,4761.2900,2620.4200,5796.6700,1556.4700,5071.4800,1294.7500,2816.8000,3124.3400,1621.0600,5126.1600,1522.6500
20160831,3329.8700,3347.8800,3177.3100,2385.0100,3725.2500,3163.1300,4775.2500,7323.6600,3446.8900,3416.6400,8091.3400,2907.6800,2736.4000,5042.1200,4878.5200,5754.4500,3550.1300,5114.2000,2876.1500,5984.0900,1625.7400,5209.3000,1357.5900,2917.3800,3266.3100,1711.4300,5179.1200,1575.7000
20160930,3219.0100,3351.0400,3167.9100,2344.6100,3548.2400,3140.6100,4984.0600,7078.9200,3427.5700,3401.6500,7979.2300,2872.6400,2655.8600,5025.1900,4797.6100,5802.7400,3479.5600,5252.1400,2813.1800,5837.9900,1507.1100,5023.4900,1294.9200,2888.7500,3188.8400,1665.4900,5181.8800,1569.3400
20161031,3324.5200,3568.4500,3261.0300,2448.0900,3724.3800,3229.2700,5023.8500,7569.0600,3552.0700,3489.4600,8122.4600,2938.0700,2747.5500,5006.3400,4911.4700,5933.8900,3616.0200,5536.0900,3045.3300,5992.2800,1549.3500,5180.4300,1312.2600,2954.5500,3218.7000,1719.8100,5329.8100,1634.3300
20161130,3414.2200,3589.9700,3357.2200,2626.9800,3847.2600,3257.5600,5494.9600,7718.8900,3719.1800,3569.7100,8269.1700,3014.3700,2869.5300,5230.6800,5156.7000,5895.5200,3602.2300,5778.4300,3498.2600,6114.7700,1584.1000,5264.1500,1347.6400,3061.7700,3356.3600,1822.8000,5467.4700,1731.6600
20161230,3356.2400,3426.9700,3313.7800,2584.7600,3592.8500,3062.3400,5050.7300,7494.1400,3583.9300,3408.0600,7797.6600,2884.9200,2729.5700,4871.1900,5122.4300,5631.7300,3527.4500,5659.9800,3219.0200,5879.1100,1540.6700,4711.7000,1207.8500,2886.4300,3215.4000,1680.5900,5228.7000,1623.8100
20170126,3261.2800,3475.3100,3259.0600,2741.8000,3691.0500,3016.5500,5148.0900,7569.6000,3435.6200,3318.4700,7649.1800,2862.4200,2750.0300,4814.9800,4982.9600,5547.2500,3357.1100,5666.0000,3201.9100,5741.6200,1633.1400,4496.5700,1175.1500,2761.2200,3354.9000,1703.2000,5292.2800,1594.3200
20170228,3326.8200,3523.8800,3366.3500,2873.8000,3844.1100,3115.5700,5464.2400,7884.1400,3558.5100,3492.6000,7837.7800,2966.7900,2874.4500,4930.5900,5161.1600,5764.5200,3521.3000,6046.0800,3381.3400,5937.2900,1655.4200,4673.0400,1196.3200,2889.3100,3399.8000,1713.2600,5454.0400,1667.3200
20170331,3222.3000,3485.6300,3329.2300,2741.7000,3766.2600,3216.1600,5747.1600,8209.7000,3448.3900,3469.6700,7853.0200,2963.9900,2882.9400,4835.0400,4955.7900,5846.9500,3409.9100,5988.1100,3431.5900,5920.6100,1655.4700,4608.1400,1143.8600,2865.0600,3335.2200,1666.2100,5458.9200,1668.4800
20170428,3038.8300,3295.7700,3163.2600,2703.9500,3583.4300,3144.8000,5751.6200,8152.9600,3229.6400,3239.7800,7689.6800,3026.3400,2843.1900,4818.8500,4657.8500,5415.8500,3186.4100,6069.5500,3391.8500,5606.6200,1561.3700,4429.0500,1079.6500,2715.5900,3206.3300,1659.8700,5269.4800,1578.9100
20170519,2861.1200,3198.9200,3061.1700,2572.3700,3412.0600,3148.8200,5696.7200,8132.9900,3137.7300,3131.6500,7564.4600,2949.6100,2806.2500,4631.1100,4506.6800,5209.6400,3022.1800,5832.1200,3213.9700,5342.4300,1368.6400,4339.2900,1066.5600,2673.4900,3210.7400,1638.6600,5090.0100,1524.3700
